County,College
Arkansas        ,0.16
Ashley        ,0.12
Baxter        ,0.18
Benton        ,0.35
Boone        ,0.18
Bradley        ,0.14
Calhoun        ,0.11
Carroll        ,0.21
Chicot        ,0.15
Clark        ,0.25
Clay        ,0.14
Cleburne        ,0.17
Cleveland        ,0.16
Columbia        ,0.2
Conway        ,0.18
Craighead        ,0.27
Crawford        ,0.18
Crittenden        ,0.17
Cross        ,0.15
Dallas        ,0.11
Desha        ,0.14
Drew        ,0.23
Faulkner        ,0.32
Franklin        ,0.11
Fulton        ,0.13
Garland        ,0.23
Grant        ,0.2
Greene        ,0.17
Hempstead        ,0.16
Hot Spring        ,0.15
Howard        ,0.14
Independence        ,0.19
Izard        ,0.15
Jackson        ,0.12
Jefferson        ,0.18
Johnson        ,0.17
Lafayette        ,0.14
Lawrence        ,0.14
Lee        ,0.09
Lincoln        ,0.09
Little River        ,0.14
Logan        ,0.12
Lonoke        ,0.21
Madison        ,0.12
Marion        ,0.16
Miller        ,0.18
Mississippi        ,0.16
Monroe        ,0.13
Montgomery        ,0.15
Nevada        ,0.12
Newton        ,0.16
Ouachita        ,0.13
Perry        ,0.18
Phillips        ,0.15
Pike        ,0.18
Poinsett        ,0.12
Polk        ,0.15
Pope        ,0.25
Prairie        ,0.15
Pulaski        ,0.35
Randolph        ,0.14
St. Francis        ,0.11
Saline        ,0.28
Scott        ,0.12
Searcy        ,0.11
Sebastian        ,0.23
Sevier        ,0.13
Sharp        ,0.1
Stone        ,0.13
Union        ,0.21
Van Buren        ,0.16
Washington        ,0.33
White        ,0.21
Woodruff        ,0.15
Yell        ,0.13
