County,Per Capita Income,Median Household Income,Median Family Income,Population,Number of Households
Arkansas," 22,142.00 "," 37,230.00 "," 48,698.00 "," 19,019.00 "," 8,005.00 "
Ashley," 18,779.00 "," 34,934.00 "," 46,453.00 "," 21,853.00 "," 8,765.00 "
Baxter," 21,513.00 "," 35,606.00 "," 42,124.00 "," 41,513.00 "," 18,748.00 "
Benton," 25,186.00 "," 50,434.00 "," 58,000.00 "," 221,339.00 "," 82,087.00 "
Boone," 20,507.00 "," 36,977.00 "," 46,005.00 "," 36,903.00 "," 15,120.00 "
Bradley," 18,845.00 "," 29,908.00 "," 39,125.00 "," 11,508.00 "," 4,673.00 "
Calhoun," 16,457.00 "," 32,450.00 "," 39,615.00 "," 5,368.00 "," 2,262.00 "
Carroll," 19,743.00 "," 34,235.00 "," 42,031.00 "," 27,446.00 "," 11,393.00 "
Chicot," 14,668.00 "," 21,676.00 "," 32,679.00 "," 11,800.00 "," 4,579.00 "
Clark," 17,186.00 "," 31,968.00 "," 45,336.00 "," 22,995.00 "," 8,783.00 "
Clay," 18,892.00 "," 29,066.00 "," 39,758.00 "," 16,083.00 "," 6,845.00 "
Cleburne," 20,371.00 "," 35,753.00 "," 44,863.00 "," 25,970.00 "," 11,078.00 "
Cleveland," 19,481.00 "," 36,957.00 "," 45,882.00 "," 8,689.00 "," 3,416.00 "
Columbia," 20,110.00 "," 35,148.00 "," 46,855.00 "," 24,552.00 "," 9,759.00 "
Conway," 19,909.00 "," 32,700.00 "," 48,116.00 "," 21,273.00 "," 8,463.00 "
Craighead," 21,728.00 "," 39,233.00 "," 52,540.00 "," 96,443.00 "," 37,291.00 "
Crawford," 18,715.00 "," 40,197.00 "," 46,542.00 "," 61,948.00 "," 23,447.00 "
Crittenden," 18,241.00 "," 33,716.00 "," 42,042.00 "," 50,902.00 "," 19,026.00 "
Cross," 18,248.00 "," 37,021.00 "," 46,045.00 "," 17,870.00 "," 7,002.00 "
Dallas," 16,457.00 "," 29,602.00 "," 37,060.00 "," 8,116.00 "," 3,280.00 "
Desha," 17,582.00 "," 29,051.00 "," 36,349.00 "," 13,008.00 "," 5,321.00 "
Drew," 18,903.00 "," 32,558.00 "," 44,680.00 "," 18,509.00 "," 7,360.00 "
Faulkner," 22,811.00 "," 45,287.00 "," 60,595.00 "," 113,237.00 "," 42,614.00 "
Franklin," 18,010.00 "," 32,064.00 "," 39,723.00 "," 18,125.00 "," 7,037.00 "
Fulton," 17,067.00 "," 30,598.00 "," 36,489.00 "," 12,245.00 "," 5,196.00 "
Garland," 22,786.00 "," 36,844.00 "," 45,745.00 "," 96,024.00 "," 40,994.00 "
Grant," 22,229.00 "," 51,589.00 "," 58,741.00 "," 17,853.00 "," 6,933.00 "
Greene," 18,225.00 "," 38,209.00 "," 45,776.00 "," 42,090.00 "," 16,425.00 "
Hempstead," 17,177.00 "," 35,708.00 "," 41,820.00 "," 22,609.00 "," 8,839.00 "
Hot Spring," 18,248.00 "," 37,150.00 "," 46,090.00 "," 32,923.00 "," 12,664.00 "
Howard," 18,216.00 "," 34,554.00 "," 40,538.00 "," 13,789.00 "," 5,365.00 "
Independence," 19,912.00 "," 34,625.00 "," 43,775.00 "," 36,647.00 "," 14,391.00 "
Izard," 17,737.00 "," 31,673.00 "," 39,668.00 "," 13,696.00 "," 5,731.00 "
Jackson," 14,874.00 "," 27,615.00 "," 36,103.00 "," 17,997.00 "," 6,724.00 "
Jefferson," 18,681.00 "," 35,998.00 "," 46,626.00 "," 77,435.00 "," 28,873.00 "
Johnson," 16,937.00 "," 30,592.00 "," 39,226.00 "," 25,540.00 "," 9,812.00 "
Lafayette," 17,699.00 "," 27,515.00 "," 37,072.00 "," 7,645.00 "," 3,150.00 "
Lawrence," 15,168.00 "," 30,288.00 "," 38,957.00 "," 17,415.00 "," 6,938.00 "
Lee," 13,103.00 "," 30,494.00 "," 34,261.00 "," 10,424.00 "," 3,624.00 "
Lincoln," 15,024.00 "," 35,737.00 "," 39,493.00 "," 14,134.00 "," 4,207.00 "
Little River," 18,808.00 "," 33,416.00 "," 45,341.00 "," 13,171.00 "," 5,411.00 "
Logan," 19,121.00 "," 37,551.00 "," 48,696.00 "," 22,353.00 "," 8,704.00 "
Lonoke," 22,473.00 "," 50,757.00 "," 57,736.00 "," 68,356.00 "," 25,295.00 "
Madison," 18,611.00 "," 36,502.00 "," 42,341.00 "," 15,717.00 "," 6,174.00 "
Marion," 19,532.00 "," 34,109.00 "," 41,321.00 "," 16,653.00 "," 7,411.00 "
Miller," 19,654.00 "," 40,307.00 "," 47,960.00 "," 43,462.00 "," 17,219.00 "
Mississippi," 17,736.00 "," 33,407.00 "," 39,644.00 "," 46,480.00 "," 17,741.00 "
Monroe," 17,084.00 "," 29,964.00 "," 35,532.00 "," 8,149.00 "," 3,481.00 "
Montgomery," 20,010.00 "," 35,705.00 "," 43,306.00 "," 9,487.00 "," 4,000.00 "
Nevada," 21,020.00 "," 38,375.00 "," 46,658.00 "," 8,997.00 "," 3,697.00 "
Newton," 15,904.00 "," 27,441.00 "," 37,938.00 "," 8,330.00 "," 3,571.00 "
Ouachita," 18,244.00 "," 31,259.00 "," 42,771.00 "," 26,120.00 "," 11,003.00 "
Perry," 19,844.00 "," 43,635.00 "," 50,364.00 "," 10,445.00 "," 4,170.00 "
Phillips," 15,244.00 "," 27,361.00 "," 32,902.00 "," 21,757.00 "," 8,491.00 "
Pike," 18,122.00 "," 32,806.00 "," 39,526.00 "," 11,291.00 "," 4,457.00 "
Poinsett," 16,625.00 "," 32,267.00 "," 38,865.00 "," 24,583.00 "," 9,754.00 "
Polk," 16,913.00 "," 32,267.00 "," 37,883.00 "," 20,662.00 "," 8,450.00 "
Pope," 19,693.00 "," 39,841.00 "," 46,083.00 "," 61,754.00 "," 23,353.00 "
Prairie," 18,134.00 "," 35,346.00 "," 42,609.00 "," 8,715.00 "," 3,685.00 "
Pulaski," 27,158.00 "," 45,121.00 "," 57,863.00 "," 382,748.00 "," 158,772.00 "
Randolph," 18,751.00 "," 30,222.00 "," 43,552.00 "," 17,969.00 "," 7,299.00 "
Saline," 24,584.00 "," 51,502.00 "," 62,109.00 "," 107,118.00 "," 41,441.00 "
Scott," 17,668.00 "," 36,417.00 "," 39,425.00 "," 11,233.00 "," 4,368.00 "
Searcy," 15,298.00 "," 28,811.00 "," 38,662.00 "," 8,195.00 "," 3,574.00 "
Sebastian," 22,284.00 "," 39,482.00 "," 49,149.00 "," 125,744.00 "," 49,599.00 "
Sevier," 15,590.00 "," 34,383.00 "," 39,263.00 "," 17,058.00 "," 5,975.00 "
Sharp," 16,570.00 "," 31,135.00 "," 39,435.00 "," 17,264.00 "," 7,360.00 "
St. Francis," 13,693.00 "," 27,019.00 "," 34,233.00 "," 28,258.00 "," 9,616.00 "
Stone," 16,090.00 "," 30,380.00 "," 36,765.00 "," 12,394.00 "," 5,325.00 "
Union," 20,447.00 "," 36,464.00 "," 46,185.00 "," 41,639.00 "," 16,951.00 "
