,total_bill,tip,smoker,day,time,size
0,16.99,1.01,No,Sun,Dinner,2
1,10.34,1.66,No,Sun,Dinner,3
2,21.01,3.5,No,Sun,Dinner,3
3,23.68,3.31,No,Sun,Dinner,2
4,24.59,3.61,No,Sun,Dinner,4
5,25.29,4.71,No,Sun,Dinner,4
6,8.77,2.0,No,Sun,Dinner,2
7,26.88,3.12,No,Sun,Dinner,4
8,15.04,1.96,No,Sun,Dinner,2
9,14.78,3.23,No,Sun,Dinner,2
10,10.27,1.71,No,Sun,Dinner,2
11,35.26,5.0,No,Sun,Dinner,4
12,15.42,1.57,No,Sun,Dinner,2
13,18.43,3.0,No,Sun,Dinner,4
14,14.83,3.02,No,Sun,Dinner,2
15,21.58,3.92,No,Sun,Dinner,2
16,10.33,1.67,No,Sun,Dinner,3
17,16.29,3.71,No,Sun,Dinner,3
18,16.97,3.5,No,Sun,Dinner,3
19,20.65,3.35,No,Sat,Dinner,3
20,17.92,4.08,No,Sat,Dinner,2
21,20.29,2.75,No,Sat,Dinner,2
22,15.77,2.23,No,Sat,Dinner,2
23,39.42,7.58,No,Sat,Dinner,4
24,19.82,3.18,No,Sat,Dinner,2
25,17.81,2.34,No,Sat,Dinner,4
26,13.37,2.0,No,Sat,Dinner,2
27,12.69,2.0,No,Sat,Dinner,2
28,21.7,4.3,No,Sat,Dinner,2
29,19.65,3.0,No,Sat,Dinner,2
30,9.55,1.45,No,Sat,Dinner,2
31,18.35,2.5,No,Sat,Dinner,4
32,15.06,3.0,No,Sat,Dinner,2
33,20.69,2.45,No,Sat,Dinner,4
34,17.78,3.27,No,Sat,Dinner,2
35,24.06,3.6,No,Sat,Dinner,3
36,16.31,2.0,No,Sat,Dinner,3
37,16.93,3.07,No,Sat,Dinner,3
38,18.69,2.31,No,Sat,Dinner,3
39,31.27,5.0,No,Sat,Dinner,3
40,16.04,2.24,No,Sat,Dinner,3
41,17.46,2.54,No,Sun,Dinner,2
42,13.94,3.06,No,Sun,Dinner,2
43,9.68,1.32,No,Sun,Dinner,2
44,30.4,5.6,No,Sun,Dinner,4
45,18.29,3.0,No,Sun,Dinner,2
46,22.23,5.0,No,Sun,Dinner,2
47,32.4,6.0,No,Sun,Dinner,4
48,28.55,2.05,No,Sun,Dinner,3
49,18.04,3.0,No,Sun,Dinner,2
50,12.54,2.5,No,Sun,Dinner,2
51,10.29,2.6,No,Sun,Dinner,2
52,34.81,5.2,No,Sun,Dinner,4
53,9.94,1.56,No,Sun,Dinner,2
54,25.56,4.34,No,Sun,Dinner,4
